KeV,Counts
4462,2
4464,3
4466,2
4468,0
4470,4
4472,2
4474,1
4476,4
4478,4
4480,3
4482,3
4484,1
4486,2
4488,2
4490,2
4492,4
4494,1
4496,3
4498,1
4500,2
4502,1
4504,2
4506,2
4508,1
4510,2
4512,3
4514,2
4516,2
4518,1
4520,0
4522,0
4524,0
4526,1
4528,3
4530,4
4532,2
4534,0
4536,1
4538,0
4540,4
4542,2
4544,2
4546,2
4548,1
4550,1
4552,2
4554,1
4556,3
4558,0
4560,2
4562,1
4564,4
4566,4
4568,3
4570,2
4572,0
4574,1
4576,1
4578,1
4580,2
4582,2
4584,0
4586,2
4588,3
4590,0
4592,3
4594,3
4596,1
4598,1
4600,1
4602,0
4604,6
4606,4
4608,2
4610,2
4612,1
4614,3
4616,1
4618,2
4620,5
4622,2
4624,2
4626,4
4628,1
4630,3
4632,5
4634,3
4636,2
4638,2
4640,2
4642,1
4644,3
4646,2
4648,1
4650,1
4652,1
4654,5
4656,1
4658,2
4660,0
4662,6
4664,1
4666,1
4668,1
4670,3
4672,3
4674,5
4676,1
4678,1
4680,0
4682,1
4684,3
4686,2
4688,4
4690,3
4692,1
4694,3
4696,2
4698,4
4700,2
4702,5
4704,3
4706,4
4708,3
4710,2
4712,0
4714,3
4716,2
4718,3
4720,6
4722,4
4724,6
4726,2
4728,2
4730,4
4732,3
4734,4
4736,4
4738,4
4740,0
4742,1
4744,1
4746,4
4748,0
4750,2
4752,2
4754,1
4756,0
4758,2
4760,2
4762,3
4764,3
4766,3
4768,1
4770,0
4772,2
4774,3
4776,0
4778,6
4780,1
4782,3
4784,3
4786,3
4788,3
4790,1
4792,4
4794,5
4796,4
4798,2
4800,3
4802,0
4804,0
4806,4
4808,4
4810,3
4812,2
4814,5
4816,2
4818,7
4820,2
4822,1
4824,4
4826,1
4828,3
4830,1
4832,2
4834,4
4836,3
4838,5
4840,1
4842,2
4844,4
4846,2
4848,3
4850,6
4852,1
4854,2
4856,7
4858,1
4860,1
4862,0
4864,2
4866,2
4868,2
4870,2
4872,2
4874,4
4876,2
4878,1
4880,2
4882,3
4884,4
4886,3
4888,3
4890,1
4892,1
4894,2
4896,1
4898,3
4900,1
4902,5
4904,1
4906,2
4908,3
4910,3
4912,2
4914,3
4916,3
4918,3
4920,2
4922,2
4924,2
4926,1
4928,2
4930,1
4932,2
4934,0
4936,1
4938,3
4940,4
4942,3
4944,2
4946,7
4948,0
4950,2
4952,4
4954,1
4956,0
4958,3
4960,2
4962,1
4964,2
4966,1
4968,0
4970,4
4972,2
4974,2
4976,1
4978,1
4980,0
4982,3
4984,4
4986,3
4988,1
4990,3
4992,2
4994,2
4996,1
4998,5
5000,2
5002,3
5004,3
5006,2
5008,3
5010,6
5012,4
5014,4
5016,2
5018,3
5020,1
5022,2
5024,5
5026,4
5028,2
5030,4
5032,2
5034,3
5036,1
5038,4
5040,3
5042,0
5044,4
5046,2
5048,1
5050,3
5052,1
5054,1
5056,1
5058,0
5060,1
5062,1
5064,2
5066,2
5068,0
5070,2
5072,4
5074,1
5076,3
5078,1
5080,1
5082,3
5084,2
5086,1
5088,2
5090,4
5092,0
5094,1
5096,1
5098,1
5100,1
5102,3
5104,5
5106,1
5108,4
5110,1
5112,0
5114,3
5116,5
5118,0
5120,2
5122,3
5124,4
5126,0
5128,0
5130,5
5132,2
5134,4
5136,2
5138,1
5140,1
5142,4
5144,3
5146,1
5148,4
5150,3
5152,1
5154,6
5156,0
5158,3
5160,0
5162,2
5164,3
5166,2
5168,3
5170,3
5172,3
